Name,Coefficient,Coefficient_std_error,Coefficient_P_value,Phenotype
Per_6,2.95803429762558e-09,2.2905588498922868e-08,0.4486233218065369,699
Rgl_Tel_1,8.96673947455078e-09,8.258824028726354e-08,0.456771133725521,699
Per_1,2.090396644367755e-09,2.0986326442374066e-08,0.4603279482153191,699
Neur_CB_NBL_1,2.7123021977587716e-09,2.8305945224470045e-08,0.4618313942236561,699
OPC_3,5.478958342947566e-09,6.156706135067191e-08,0.4645442474545323,699
Neur_CB_GNP_IPC_4,1.8914093391239435e-09,2.7108003042689588e-08,0.4721871300346044,699
OPC_2,3.245511492354516e-09,5.7959754549532906e-08,0.4776725169410102,699
Rgl_CB_3,2.717003059782859e-09,8.875509627952658e-08,0.4877893420057104,699
End_early_1,1.355037443624385e-09,4.868105862241777e-08,0.488896873954499,699
Neur_Gly_8,1.731390665303899e-09,1.020293280268122e-07,0.4932304582978809,699
Neur_HB_Glut_NBL_3,4.004800545882831e-11,2.6035740054978982e-08,0.499386349829533,699
End_2,-4.4773301660156875e-10,2.6905870746809208e-08,0.5066383797416995,699
PreOPC_4,-3.971589135708871e-09,2.0784308609749827e-07,0.507622762145503,699
VLMC_SLC6A13_1,-1.2441689726540323e-08,1.55549795846319e-07,0.5318755074813285,699
VZ_prog,-3.5772476532622704e-09,3.706248573714018e-08,0.5384459533511052,699
Neur_Glut_1,-1.2697567828262565e-08,1.2454429603211377e-07,0.540602700994913,699
Schwl_1,-1.1500696096529602e-08,9.031502793298721e-08,0.5506642630147551,699
VLMC_MGP_1,-9.784371294748764e-09,5.278364839914205e-08,0.5735295888005558,699
Per_3,-4.3199183812727745e-09,2.3001197986274475e-08,0.5744882819993904,699
End_10,-7.078304298945768e-09,3.1025391973778614e-08,0.5902334448076297,699
PreOPC_2,-1.4902177926874713e-08,6.000033509440012e-08,0.5980752496190056,699
End_8,-8.271076088527885e-09,2.6521713634413224e-08,0.6224267459740876,699
Neur_MB_GABA_TAL2,-1.1028624229051725e-08,3.3831840427735045e-08,0.6277816081981962,699
End_1,-1.0801412515849284e-08,3.2489318908255975e-08,0.6302291879868736,699
Neur_GABA_IPC,-6.55638330286161e-08,1.9702344122302122e-07,0.6303467034580983,699
PreOPC_1,-2.8672367838672763e-08,7.502067934843712e-08,0.6488408404669553,699
Neur_Purk_5,-1.1359011666130984e-08,2.9672643727491835e-08,0.6490700131973252,699
Neur_CB_GNP_IPC_2,-1.3126560463432156e-08,3.4200461414467005e-08,0.6494412438621251,699
VLMC_MGP_2,-1.8124867096955936e-08,4.633808355682781e-08,0.6521546304179962,699
Neur_HB_Glut_NBL_4,-8.743259419640175e-09,2.1565489164509444e-08,0.6574186406047504,699
Per_2,-8.160962682053507e-09,2.0008711273137753e-08,0.6583156170564152,699
VLMC_SLC6A13_2,-1.3672029782193013e-08,3.282100926926935e-08,0.6615010916414785,699
Neur_HB_Glut,-1.9902089276434626e-08,4.75965040276415e-08,0.6620782883378894,699
VSMC,-1.1049808649616167e-08,2.634329350946689e-08,0.6625579391106172,699
Rgl_Tel_2,-4.5890956459642994e-08,1.0475827545942979e-07,0.6693304953100812,699
PreOPC_3,-4.4002112645722453e-08,9.79266112650487e-08,0.6734059464072308,699
Neur_MB_GABA_IPC,-4.2853842601137056e-08,8.600332491038417e-08,0.6908570824913693,699
Neur_HB_NBL,-4.0387823037633526e-08,7.773728918193445e-08,0.6983087468357906,699
Neur_Purk_1,-1.5706917064758395e-08,2.981072991933467e-08,0.7008643301872872,699
Neur_Gly_5,-5.0109996561809884e-08,8.867018420744524e-08,0.7140066196001471,699
End_7,-1.5581589640067297e-08,2.681414093750004e-08,0.719412117759572,699
