Gene,CB_Exc,HB_Exc,Tel_Exc,MB_Inh,Purkinje
ZNF727,0.0,0.0,8.575226171590276e-05,3.076733739462187e-05,1.5600137281208075e-05
SMAD7,0.017574343444372736,0.022065344637979354,0.017579213651760066,0.007537997661682358,0.005569249009391283
KCMF1,0.04616988531996227,0.05672425414168648,0.07884920464777259,0.05218140422127869,0.04586440360675174
ZNF366,0.0007943206076552648,0.0018092163609918764,0.0024439394589032284,0.00012306934957848748,0.00034320302018657766
TEAD4,0.0006453854937199027,0.0007804462733690447,0.001457788449170347,0.0003999753861300843,0.000826807275904028
BCL6B,0.0002482251898922703,0.0001418993224307354,0.00030013291600565966,0.0,1.5600137281208075e-05
TCF15,0.0004964503797845406,0.0008159211039767285,0.001457788449170347,9.230201218386561e-05,0.0002496021964993292
ZBTB38,0.009233977063992455,0.016389371740749937,0.026454572739356,0.020767952741369763,0.027721443948706747
MLLT6,0.00029787022787072434,0.0002837986448614708,0.00034300904686361105,0.00015383668697310933,0.0002496021964993292
SKIL,0.04875142729484188,0.06066196033913938,0.07400420186082408,0.03968986523906221,0.052057658107391346
DNAJC1,0.1611974383160403,0.08198233353435737,0.25772842258714573,0.07341086702356778,0.16355183925618547
TBX3,0.0010425457975475351,0.0028734612792223916,0.0005145135702954165,0.00018460402436773122,7.800068640604038e-05
GLIS2,9.92900759569081e-05,0.0001418993224307354,8.575226171590276e-05,0.00015383668697310933,9.360082368724845e-05
FOXL2,0.0003475152658491784,0.00035474830607683846,0.00030013291600565966,3.076733739462187e-05,6.24005491248323e-05
ZNF676,0.0,7.09496612153677e-05,0.0,3.076733739462187e-05,0.0
ETS2,0.0031276373926426054,0.007698038241867395,0.003301462076062256,0.010737800750723033,0.0050700446163926246
ELK3,0.0337089807873703,0.010110326723189896,0.010804784976203748,0.005568888068426558,0.004383638576019469
HOPX,0.0033758625825348757,0.0081237362091596,0.01183381211679458,0.0003999753861300843,0.001466412904433559
HES1,0.024077843419550216,0.04696867572457342,0.07576212322600008,0.02289089902159867,0.018298961030857073
ZNF407,0.396564563371891,0.285572386391855,0.44676928353985335,0.3603162882284167,0.2776044429190977
SMAD1,0.03802809909149581,0.052573698960587466,0.0638425588474896,0.04528952064488339,0.036083117531434276
BARX1,0.0,0.0,0.0,3.076733739462187e-05,0.0
SMAD3,0.009978652633669264,0.013161162155450708,0.0074604467692835396,0.007630299673866223,0.005038844341830208
TCF4,0.9975673931390557,0.9460073078151052,0.9904386228186769,0.5420897175558427,0.4449315153973355
ELK1,0.005808469443479124,0.005605023236014048,0.0075461990309994426,0.0035997784751707587,0.006957661227418801
TEAD1,0.7777391649704612,0.5251693923161517,0.6502165244608327,0.14909851701433757,0.6207762628311129
HIVEP1,0.060318721143821676,0.1884068253574089,0.13647472452085924,0.13799150821487907,0.10778134847586658
FOXO1,0.0034751526584917837,0.003724857213806804,0.005531020880675728,0.003322872438619162,0.00170041496365168
PSPC1,0.27935262870476096,0.2811380325658945,0.48947390987437295,0.4283428712079257,0.245390159433403
RAX2,0.0,0.0,4.287613085795138e-05,0.0,0.0
MIXL1,0.0001985801519138162,0.00010642449182305155,4.287613085795138e-05,6.153467478924374e-05,9.360082368724845e-05
PPARD,0.01370203048205332,0.011635744439320302,0.015907044548299963,0.003322872438619162,0.007706467816916789
ZNF485,0.0017375763292458918,0.0015608925467380894,0.002058054281181666,0.0009845547966278998,0.0019812174347134254
ZNF764,0.0031276373926426054,0.0047181524708219515,0.006945933198988123,0.0036920804873546245,0.00421203706592618
ZNF324,0.006702080127091298,0.009791053247720742,0.0073318183767096855,0.008030275059996308,0.011559701725375184
ZNF671,0.004170183190190141,0.004824576962645003,0.0077605796852892,0.0060919328041351304,0.00705126205110605
NR1D1,0.0005957404557414487,0.0006740217815459931,0.001029027140590833,0.00021537136176235307,0.0005148045302798665
MAFK,0.0007446755696768108,0.001880166022207244,0.003172833683488402,0.0019383422558611777,0.0006708059030919472
ZBTB42,0.0,0.0006030721203306254,0.0005145135702954165,3.076733739462187e-05,3.120027456241615e-05
