Name,Coefficient,Coefficient_std_error,Coefficient_P_value,Phenotype
Neur_Tel_Glut_SATB2_1,2.0886450770226945e-07,9.381165484509745e-08,0.012992901520525,DEP
Neur_Purk_6,1.3921713034493978e-07,6.405527226949528e-08,0.0148754636766029,DEP
Neur_HB_Glut,2.3861592203468656e-07,1.1018880059155936e-07,0.0151739876561425,DEP
Neur_Tel_Glut_PCNA,3.275798328731754e-07,1.550586877010368e-07,0.0173167223387628,DEP
Gbl_late,1.0913828023746172e-06,5.206491420623379e-07,0.0180323907619015,DEP
Neur_SER,3.062354781521152e-07,1.4881991631040093e-07,0.0198066510051212,DEP
Neur_CB_NBL_1,1.323379157958674e-07,6.449398936484162e-08,0.020087657059118,DEP
Neur_MB_Glut,1.858515566772385e-07,9.253095036519305e-08,0.022293290228181,DEP
Neur_Tel_Glut_NBL_1,2.230528608297889e-07,1.1147809301963573e-07,0.0227033510897587,DEP
Neur_DA,1.8224635723184488e-07,9.498880100451002e-08,0.0275169253856824,DEP
Rgl_MB_1,2.008613019032554e-07,1.1136093503845825e-07,0.0356394681875614,DEP
Neur_Tel_Glut_SATB2_2,1.3603370174575357e-07,7.596372006228783e-08,0.0366649463393967,DEP
Neur_Purk_4,1.141498695598623e-07,6.381433708864215e-08,0.0368250512466029,DEP
Neur_Purk_1,1.3668982020548124e-07,7.823921460466896e-08,0.0403121154932542,DEP
Neur_CB_GNP_IPC_1,8.496388248013385e-08,5.005210620882728e-08,0.0448002700040174,DEP
Rgl_CB_2,1.1925151490069862e-07,7.25418291656795e-08,0.0500984273330752,DEP
Neur_HB_Glut_2,2.98948541300126e-07,1.8269962350128249e-07,0.0508900411726751,DEP
Neur_CB_GNP_IPC_3,8.33691016989178e-08,5.4185553473120986e-08,0.061952772020493,DEP
Neur_Purk_3,1.06434473434041e-07,6.940303491691509e-08,0.0625676282166931,DEP
Neur_HB_NBL,2.572658739690771e-07,1.6898426102806325e-07,0.0639513046272071,DEP
Rgl_Tel_1,2.726178362962575e-07,1.813804212538233e-07,0.0664173445621518,DEP
Neur_Gly_2,1.8665608466638386e-07,1.2824867355489126e-07,0.0727760797496137,DEP
Neur_Purk_NBL_2,9.622757496711156e-08,6.681060307587557e-08,0.07489071334011,DEP
OPC_4,1.2119165507527945e-07,8.455793395740477e-08,0.0758948982805739,DEP
Neur_Gly_5,2.8745554089016564e-07,2.0919272765567865e-07,0.0847024902188715,DEP
Rgl_Tel_dorsal,1.3911704645892737e-07,1.0209915949782184e-07,0.0865093515382612,DEP
OPC_6,1.2517649608541068e-07,9.294125606137361e-08,0.0890167600422041,DEP
Neur_GABA_3,2.2568359478409626e-07,1.7140974310145577e-07,0.0939809625454672,DEP
Rgl_CB_3,2.1759669541012779e-07,1.736501100069814e-07,0.1050891188255809,DEP
Neur_CB_GNP_IPC_4,7.524863373522005e-08,6.242760276766054e-08,0.1140294013346518,DEP
Neur_Gly_6,2.2412494406439522e-07,1.8674876476565946e-07,0.115042193776998,DEP
Neur_late,2.8430166551868605e-07,2.384191516229389e-07,0.11654345130929,DEP
Neur_HB_Glut_NBL_4,5.1746223784064446e-08,4.339881910833613e-08,0.1165636358176214,DEP
Neur_HB_Glut_NBL_2,6.975744150195316e-08,6.136985885395936e-08,0.1278375736214884,DEP
OPC_5,1.182655323196426e-07,1.042632405645421e-07,0.1283348903435909,DEP
Neur_Int_MGE,1.2662486366732817e-07,1.1402874415422513e-07,0.1333994751480063,DEP
Neur_Int_LGE_CGE,1.136956549549232e-07,1.0931102010721206e-07,0.149144038255099,DEP
Neur_Gly_1,4.816931970096163e-07,4.684580649267009e-07,0.151915523892288,DEP
Gbl_HB_3,9.5227381590127e-08,9.676461883649036e-08,0.1625298197141453,DEP
PreOPC_2,1.3804914259244788e-07,1.4439271083726694e-07,0.1695191286459818,DEP
Neur_HB_Glut_NBL_1,4.9307882260763496e-08,5.219395551760442e-08,0.1724047933531142,DEP
Neur_CB_GNP_IPC_2,6.66125535725127e-08,7.731200086894158e-08,0.1944519357541105,DEP
Neur_HB_IPC_1,6.100868047693527e-08,7.139959125370512e-08,0.196422809907369,DEP
COP,7.024682103505797e-08,8.264401877302713e-08,0.1976645442334446,DEP
VLMC_SLC6A13_1,3.082317278088808e-07,3.668076511385893e-07,0.2003676109009196,DEP
Rgl_Tel_ventral,9.397821173723996e-08,1.1812112531213465e-07,0.2131297128174507,DEP
Floor_plate,5.1004319204510034e-08,6.687534052449132e-08,0.2228278686686075,DEP
VLMC_SLC6A13_3,3.476503997207817e-07,5.108051025454468e-07,0.2480645147378795,DEP
Neur_Gly_8,1.805068542615085e-07,2.712347512518235e-07,0.2528652217256946,DEP
Neur_Gly_4,6.356817898392831e-08,1.494479466223992e-07,0.3352895678931455,DEP
Neur_HB_GABA_1,5.2796977366828644e-08,1.2584275470842202e-07,0.3374081277353099,DEP
Gbl_CB_VZ,3.1101267515691675e-08,7.592228265783138e-08,0.3410327846963684,DEP
OPC_2,5.4453061857124214e-08,1.4272314653383468e-07,0.3514052679321635,DEP
Gbl_HB_4,6.35327541688011e-08,2.264088007630689e-07,0.3895044666858038,DEP
Rgl_Tel_2,5.01263466817555e-08,2.518288688848457e-07,0.4211121109353315,DEP
PreOPC,1.9849971926322272e-08,1.209949701002706e-07,0.4348434609884035,DEP
Rgl_CB_VZ,1.6942893989111415e-08,1.567346686962631e-07,0.4569584970934841,DEP
Neur_Gly_3,7.75729245645939e-09,1.0670617702117693e-07,0.4710233438538799,DEP
PreOPC_4,3.225525472839926e-08,5.827587301678673e-07,0.4779301159005693,DEP
Neur_CB_GABA_1,1.5554311334477463e-08,3.058098048589188e-07,0.479717465391219,DEP
PreOPC_1,-7.664089083901418e-09,1.5203396790816348e-07,0.5201023149194919,DEP
Neur_GABA_2,-2.2223388977816387e-08,3.842958671741031e-07,0.5230575221280861,DEP
OPC_3,-9.312094896945113e-09,1.336691041144819e-07,0.5277699594296578,DEP
Neur_Gly_7,-2.666170734578057e-08,2.9528626299971824e-07,0.5359720347358101,DEP
